Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Lichtblick AG / Renewable Energy;4354078;15.02.2024;Integrated third-party API for extended functionality.;Finn Lehmann;0.15433;0.42708;Lichtblick AG;abgerechnet;03:20
Wasserfall AG / Water Conservation;9218730;15.02.2024;Improved security protocols to protect data.;Emma Kruger;0.08954;0.0999;Wasserfall AG;abgerechnet;00:35
Lichtblick AG / Renewable Energy;2552705;21.02.2024;Enhanced search functionality with advanced filters.;Liam Scholz;0.03744;0;Lichtblick AG;abgerechnet;00:24
Wolkenbruch AG / Data Security;5174957;23.02.2024;Improved security protocols to protect data.;Liam Scholz;0.26472;0.91979;Wolkenbruch AG;abgerechnet;06:01
Lichtblick AG / Renewable Energy;5263597;12.02.2024;Added a new feature to improve user experience.;Niklas Hahn;0.03243;0.03601;Lichtblick AG;abgerechnet;00:10
Silberfuchs GmbH / Technology R&D;8782926;27.02.2024;Upgraded server infrastructure for scalability.;Lena Krause;0.05591;0.1681;Silberfuchs GmbH;abgerechnet;00:54
Eisberg GmbH / Supply Chain;6009614;22.02.2024;Updated UI for a more modern look.;Sara Brandt;0.05883;0.06727;Eisberg GmbH;abgerechnet;00:43
Kleeblatt AG / Agriculture Innovation;5322630;13.02.2024;Enhanced mobile responsiveness of the website.;Mia Koch;0.06236;0.0559;Kleeblatt AG;abgerechnet;00:12
Fels & Stein GmbH / Rock Mechanics;9594443;29.02.2024;Fixed compatibility issues with legacy systems.;Jan Kohler;0.08986;0.10489;Fels & Stein GmbH;abgerechnet;00:37
Seeblick GmbH / Hotel Management;1993502;13.02.2024;Enhanced mobile responsiveness of the website.;Clara Klein;0.03229;0;Seeblick GmbH;abgerechnet;00:11
Sturm & Partner / Financial Strategy;5058361;28.02.2024;Upgraded server infrastructure for scalability.;Liam Scholz;0.03423;0.06288;Sturm & Partner;abgerechnet;00:46
Wasserfall AG / Water Conservation;1934304;05.02.2024;Improved security protocols to protect data.;Max Mueller;0.07303;0;Wasserfall AG;abgerechnet;00:13
Mondschein KG / Night Vision Tech;6118121;13.02.2024;Added localization support for multiple languages.;Clara Klein;0.06334;0.06241;Mondschein KG;abgerechnet;00:07
Schattenspringer AG / Digital Media;3093369;05.02.2024;Integrated third-party API for extended functionality.;Simon Seidel;0.06898;0.05424;Schattenspringer AG;abgerechnet;00:58
Sturm & Partner / Financial Strategy;6128659;08.02.2024;Added localization support for multiple languages.;Lea Schneider;0.13832;0;Sturm & Partner;abgerechnet;00:11
Glücksklee GmbH / Health Solutions;3623452;05.02.2024;Improved security protocols to protect data.;Lara Zimmer;0.02628;0.03665;Glücksklee GmbH;abgerechnet;00:17
Sandsturm AG / Climate Adaptation;9242608;01.02.2024;Redesigned landing page for better conversion rates.;Niklas Hahn;0.12997;0.14985;Sandsturm AG;abgerechnet;01:28
Drachenfels GmbH / Storytelling;9429625;08.02.2024;Resolved bug in the payment module.;Sophie Schmidt;0.074;0.15828;Drachenfels GmbH;abgerechnet;00:55
Fels & Stein GmbH / Rock Mechanics;2710931;15.02.2024;Enhanced search functionality with advanced filters.;Sara Brandt;0.05142;0.07085;Fels & Stein GmbH;abgerechnet;00:51
Bergwerk AG / Mining Expansion;4675154;02.02.2024;Added a new feature to improve user experience.;Liam Scholz;0.24551;0.50276;Bergwerk AG;abgerechnet;05:06
Wildfang AG / Product Innovation;4929641;14.02.2024;Automated deployment processes for CI/CD pipeline.;Finn Lehmann;0.03276;0.07496;Wildfang AG;abgerechnet;00:18
Sturm & Partner / Market Analysis;1386968;29.02.2024;Developed prototype for upcoming product launch.;Olivia Berg;0.33491;0.61178;Sturm & Partner;abgerechnet;05:38
Sonnenstrahl KG / Energy Efficiency;5381097;12.02.2024;Automated deployment processes for CI/CD pipeline.;Paul Bauer;0.02561;0.02931;Sonnenstrahl KG;abgerechnet;00:14
Wildfang AG / Outdoor Equipment;2524120;12.02.2024;Improved error handling and logging mechanisms.;Tim Neumann;0.02734;0.03222;Wildfang AG;abgerechnet;00:06
Hinterland GmbH / Community Building;5416385;07.02.2024;Conducted performance testing and optimizations.;Noah Schmid;0.03128;0.02777;Hinterland GmbH;abgerechnet;00:39
Sternschuppen AG / Astrophysics;6129227;20.02.2024;Improved error handling and logging mechanisms.;Paul Bauer;0.02903;0;Sternschuppen AG;abgerechnet;00:12
Hinterland GmbH / Rural Development;7607783;27.02.2024;Improved security protocols to protect data.;Lara Zimmer;0.03726;0;Hinterland GmbH;abgerechnet;00:05
Mondschein KG / Innovation;3587837;01.02.2024;Enhanced search functionality with advanced filters.;Tom Braun;0.15669;0;Mondschein KG;abgerechnet;00:17
Sternschuppen AG / Space Exploration;8745853;05.02.2024;Developed new analytics dashboard for insights.;Tom Braun;0.19363;0.2042;Sternschuppen AG;abgerechnet;01:53
Wunderbar GmbH / Brand Innovation;8233414;13.02.2024;Optimized database queries for faster load times.;Felix Voigt;0.18299;0.17623;Wunderbar GmbH;abgerechnet;01:32
Hinterland GmbH / Community Building;7353799;27.02.2024;Enhanced search functionality with advanced filters.;Finn Lehmann;0.49843;0.57199;Hinterland GmbH;abgerechnet;04:37
Adlerflug GmbH / Aerospace Engineering;1662630;10.02.2024;Fixed compatibility issues with legacy systems.;Lisa Schulz;0.92158;2.71151;Adlerflug GmbH;abgerechnet;26:16:00
Schattenspringer AG / Digital Media;6504609;06.02.2024;Enhanced mobile responsiveness of the website.;Lukas Fischer;0.03268;0.03005;Schattenspringer AG;abgerechnet;00:26
Bergwerk AG / Safety Enhancement;1043486;07.02.2024;Optimized database queries for faster load times.;Simon Seidel;0.05207;0;Bergwerk AG;abgerechnet;00:28
Schattenspringer AG / Film Production;6496681;20.02.2024;Fixed compatibility issues with legacy systems.;Ben Richter;0.05524;0.05737;Schattenspringer AG;abgerechnet;00:26
Sturm & Partner / Market Analysis;2251533;15.02.2024;Resolved bug in the payment module.;Julia Weber;0.06299;0.13019;Sturm & Partner;abgerechnet;01:20
Wolkenbruch AG / Cloud Computing;4226236;06.02.2024;Implemented user authentication system.;David Meier;0.18914;0.23068;Wolkenbruch AG;abgerechnet;02:29
Kleeblatt AG / Sustainability;5660862;16.02.2024;Added localization support for multiple languages.;Clara Klein;0.02722;0.02931;Kleeblatt AG;abgerechnet;00:33
Wunderbar GmbH / Marketing Overhaul;4011497;09.02.2024;Added a new feature to improve user experience.;David Meier;0.03353;0.03105;Wunderbar GmbH;abgerechnet;00:16
Feuersturm GmbH / Equipment Design;1485551;28.02.2024;Integrated third-party API for extended functionality.;Mia Koch;0.03381;0.03442;Feuersturm GmbH;abgerechnet;00:35
Sonnenstrahl KG / Energy Efficiency;9180548;13.02.2024;Added a new feature to improve user experience.;Finn Lehmann;0.02876;0.03143;Sonnenstrahl KG;abgerechnet;00:06
Wasserfall AG / Eco-friendly Solutions;5646103;13.02.2024;Updated UI for a more modern look.;Sara Brandt;0.02513;0.02609;Wasserfall AG;abgerechnet;00:32
Schattenspringer AG / Digital Media;8057387;21.02.2024;Integrated third-party API for extended functionality.;Lara Zimmer;0.0313;0.03695;Schattenspringer AG;abgerechnet;00:01
Kieselstein GmbH / Architectural Design;2027431;29.02.2024;Implemented caching mechanism for efficiency.;David Meier;0.06862;0.05503;Kieselstein GmbH;abgerechnet;00:01
Kleeblatt AG / Crop Management;9364909;12.02.2024;Resolved bug in the payment module.;Jan Kohler;0.25338;0.38327;Kleeblatt AG;abgerechnet;03:26
Feuersturm GmbH / Emergency Planning;8793844;15.02.2024;Enhanced search functionality with advanced filters.;Ben Richter;0.06657;0.06259;Feuersturm GmbH;abgerechnet;00:38
Mondschein KG / Innovation;4561370;01.02.2024;Redesigned landing page for better conversion rates.;Tim Neumann;0.09602;0.11242;Mondschein KG;abgerechnet;00:56
Nordlicht KG / Climate Research;9875604;05.02.2024;Added localization support for multiple languages.;Julia Weber;0.25491;0.32025;Nordlicht KG;abgerechnet;02:30
Himmelsstürmer KG / Aircraft Maintenance;8122085;20.02.2024;Redesigned landing page for better conversion rates.;Felix Voigt;0.08685;0.09549;Himmelsstürmer KG;abgerechnet;01:02
Wildfang AG / Product Innovation;6352441;15.02.2024;Improved security protocols to protect data.;Liam Scholz;0.02747;0.06361;Wildfang AG;abgerechnet;00:14
Lichtblick AG / Renewable Energy;9262603;26.02.2024;Improved security protocols to protect data.;Sophie Schmidt;0.0289;0.02498;Lichtblick AG;abgerechnet;00:36
Nordlicht KG / Renewable Energy;2688764;06.02.2024;Resolved bug in the payment module.;David Meier;0.20246;0;Nordlicht KG;abgerechnet;00:12
Funkeln & Glanz KG / Jewelry Design;9251659;02.02.2024;Developed new analytics dashboard for insights.;Lena Krause;0.25201;0.25174;Funkeln & Glanz KG;abgerechnet;01:42
Kieselstein GmbH / Architectural Design;2738458;23.02.2024;Developed prototype for upcoming product launch.;Anna Becker;0.2065;0;Kieselstein GmbH;abgerechnet;00:25
Feuersturm GmbH / Emergency Planning;8192376;02.02.2024;Added a new feature to improve user experience.;Clara Klein;0.16226;0.45529;Feuersturm GmbH;abgerechnet;04:09
Seeblick GmbH / Hotel Management;2156014;05.02.2024;Optimized database queries for faster load times.;Hannah Boehm;0.03405;0;Seeblick GmbH;abgerechnet;00:17
Himmelsstürmer KG / Aircraft Maintenance;2132234;16.02.2024;Developed new analytics dashboard for insights.;Emma Hoffmann;0.02771;0.07087;Himmelsstürmer KG;abgerechnet;00:40
Wolfsblut GmbH / Zoology;3017292;28.02.2024;Implemented user authentication system.;Max Mueller;0.09448;0.10636;Wolfsblut GmbH;abgerechnet;00:27
Kleeblatt AG / Agriculture Innovation;8925034;08.02.2024;Added a new feature to improve user experience.;Ben Richter;0.02956;0.03451;Kleeblatt AG;abgerechnet;00:02
Kieselstein GmbH / Construction Innovation;7627220;27.02.2024;Automated deployment processes for CI/CD pipeline.;Tim Neumann;0.18892;0;Kieselstein GmbH;abgerechnet;00:07
Sandsturm AG / Climate Adaptation;4712196;19.02.2024;Implemented caching mechanism for efficiency.;Mia Koch;0.03604;0.03442;Sandsturm AG;abgerechnet;00:31
Seeblick GmbH / Hotel Management;7222017;27.02.2024;Enhanced mobile responsiveness of the website.;Finn Lehmann;0.24847;0.27029;Seeblick GmbH;abgerechnet;02:08
Drachenfels GmbH / Virtual Reality;4548103;09.02.2024;Implemented user authentication system.;Finn Lehmann;0.02728;0.03373;Drachenfels GmbH;abgerechnet;00:09
Seeblick GmbH / Hotel Management;9462055;12.02.2024;Conducted performance testing and optimizations.;Olivia Berg;0.13769;0.14353;Seeblick GmbH;abgerechnet;01:21
Seeblick GmbH / Hotel Management;6594527;28.02.2024;Developed prototype for upcoming product launch.;Mia Koch;0.13996;0.33354;Seeblick GmbH;abgerechnet;02:05
Sternschuppen AG / Satellite Technology;7246667;12.02.2024;Developed new analytics dashboard for insights.;Finn Lehmann;0.19224;0.41812;Sternschuppen AG;abgerechnet;04:13
Adlerflug GmbH / Flight Dynamics;1116155;20.02.2024;Improved security protocols to protect data.;Clara Klein;0.15966;0.49989;Adlerflug GmbH;abgerechnet;03:25
Adlerflug GmbH / Aerospace Engineering;3387012;26.02.2024;Redesigned landing page for better conversion rates.;David Meier;0.03554;0.03536;Adlerflug GmbH;abgerechnet;00:18
Mondschein KG / Innovation;4175771;16.02.2024;Enhanced mobile responsiveness of the website.;Noah Schmid;0.02611;0.03706;Mondschein KG;abgerechnet;00:13
Morgenstern AG / Green Initiatives;1505799;15.02.2024;Added a new feature to improve user experience.;Hannah Boehm;0.02694;0.03043;Morgenstern AG;abgerechnet;00:12
Hinterland GmbH / Rural Development;8952151;14.02.2024;Redesigned landing page for better conversion rates.;Clara Klein;0.27363;0.26326;Hinterland GmbH;abgerechnet;02:00
Kleeblatt AG / Agriculture Innovation;2106242;02.02.2024;Developed prototype for upcoming product launch.;Jonas Wagner;0.4389;0.65204;Kleeblatt AG;abgerechnet;05:05
Weitblick KG / Retirement Planning;6139879;08.02.2024;Updated UI for a more modern look.;Simon Seidel;0.26101;0.30039;Weitblick KG;abgerechnet;01:51
Sandsturm AG / Climate Adaptation;3845189;29.02.2024;Redesigned landing page for better conversion rates.;Clara Klein;0.20077;0.21807;Sandsturm AG;abgerechnet;01:44
Schattenspringer AG / Digital Media;7241138;27.02.2024;Conducted performance testing and optimizations.;Emma Kruger;0.40288;0.32966;Schattenspringer AG;abgerechnet;03:29
Kleeblatt AG / Crop Management;9317724;01.02.2024;Enhanced mobile responsiveness of the website.;Laura Schwarz;0.02774;0.03283;Kleeblatt AG;abgerechnet;00:35
Adlerflug GmbH / Aerospace Engineering;8917101;19.02.2024;Improved security protocols to protect data.;Lisa Schulz;0.03455;0.05068;Adlerflug GmbH;abgerechnet;00:41
Blitz & Co KG / Lightning Protection;5475937;01.02.2024;Refactored code for better maintainability.;Emma Hoffmann;0.03675;0;Blitz & Co KG;abgerechnet;00:29
Silberfuchs GmbH / Technology R&D;7439013;28.02.2024;Implemented caching mechanism for efficiency.;Paul Bauer;0.10557;0.1315;Silberfuchs GmbH;abgerechnet;01:00
Mondschein KG / Night Vision Tech;4344215;22.02.2024;Updated UI for a more modern look.;Laura Schwarz;0.07361;0.05859;Mondschein KG;abgerechnet;00:48
Wolkenbruch AG / Cloud Computing;1330146;28.02.2024;Refactored code for better maintainability.;Lena Krause;0.17799;0.3426;Wolkenbruch AG;abgerechnet;02:24
Morgenstern AG / Solar Energy;4436836;05.02.2024;Added localization support for multiple languages.;Lara Zimmer;0.03687;0.03462;Morgenstern AG;abgerechnet;00:11
Drachenfels GmbH / Storytelling;7732596;22.02.2024;Improved security protocols to protect data.;Lea Schneider;0.05683;0;Drachenfels GmbH;abgerechnet;00:30
Sonnenstrahl KG / Lighting Design;7169493;21.02.2024;Developed prototype for upcoming product launch.;Emma Hoffmann;0.14725;0.18532;Sonnenstrahl KG;abgerechnet;00:45
Blitz & Co KG / Electrical Systems;3641377;21.02.2024;Developed prototype for upcoming product launch.;Lea Schneider;0.026;0;Blitz & Co KG;abgerechnet;00:00
Wolfsblut GmbH / Zoology;6089221;27.02.2024;Refactored code for better maintainability.;David Meier;0.0348;0.06558;Wolfsblut GmbH;abgerechnet;00:49
Sternschuppen AG / Satellite Technology;6311039;12.02.2024;Developed new analytics dashboard for insights.;Anna Becker;0.17638;0.16419;Sternschuppen AG;abgerechnet;01:46
Kleeblatt AG / Crop Management;2585450;26.02.2024;Conducted performance testing and optimizations.;Liam Scholz;0.03513;0.08533;Kleeblatt AG;abgerechnet;00:40
Bergwerk AG / Sustainable Resources;5652814;15.02.2024;Implemented caching mechanism for efficiency.;Tim Neumann;0.03675;0.03728;Bergwerk AG;abgerechnet;00:18
Sternschuppen AG / Astrophysics;6265289;27.02.2024;Automated deployment processes for CI/CD pipeline.;Noah Schmid;0.05699;0.17285;Sternschuppen AG;abgerechnet;01:44
Bergwerk AG / Sustainable Resources;3258524;08.02.2024;Implemented user authentication system.;Tom Braun;0.06711;0.07275;Bergwerk AG;abgerechnet;00:11
Morgenstern AG / Solar Energy;8377722;16.02.2024;Implemented caching mechanism for efficiency.;Lukas Fischer;0.02754;0.0253;Morgenstern AG;abgerechnet;00:43
Funkeln & Glanz KG / Retail Expansion;7739931;05.02.2024;Upgraded server infrastructure for scalability.;Liam Scholz;0.10642;0.1417;Funkeln & Glanz KG;abgerechnet;01:13
Sonnenstrahl KG / Lighting Design;8032509;08.02.2024;Conducted performance testing and optimizations.;Julia Weber;0.13413;0.1184;Sonnenstrahl KG;abgerechnet;00:52
Bergwerk AG / Safety Enhancement;4506445;19.02.2024;Added a new feature to improve user experience.;Hannah Boehm;0.0632;0.05449;Bergwerk AG;abgerechnet;00:15
Nordlicht KG / Arctic Exploration;7837086;08.02.2024;Resolved bug in the payment module.;Tom Braun;0.02709;0.02653;Nordlicht KG;abgerechnet;00:37
Sturm & Partner / Financial Strategy;2034124;19.02.2024;Automated deployment processes for CI/CD pipeline.;Tom Braun;0.02938;0.07366;Sturm & Partner;abgerechnet;00:38
Mondschein KG / Optical Engineering;2069427;22.02.2024;Conducted performance testing and optimizations.;Sara Brandt;0.03659;0.03473;Mondschein KG;abgerechnet;00:01
Seeblick GmbH / Eco-Tourism;7463947;16.02.2024;Automated deployment processes for CI/CD pipeline.;Emma Kruger;0.23831;0.58489;Seeblick GmbH;abgerechnet;05:30
Wolkenbruch AG / IT Infrastructure;8436630;08.02.2024;Optimized database queries for faster load times.;Simon Seidel;0.03248;0.05696;Wolkenbruch AG;abgerechnet;00:34
Nordlicht KG / Climate Research;8676132;26.02.2024;Implemented caching mechanism for efficiency.;Laura Schwarz;0.07229;0;Nordlicht KG;abgerechnet;00:07
Morgenstern AG / Green Initiatives;8844298;01.02.2024;Updated UI for a more modern look.;Emma Hoffmann;0.15954;0;Morgenstern AG;geprueft;00:30
Sandsturm AG / Desert Farming;1133386;12.02.2024;Redesigned landing page for better conversion rates.;Tim Neumann;0.08071;0.08707;Sandsturm AG;abgerechnet;00:17
Fels & Stein GmbH / Mineral Extraction;7549837;21.02.2024;Implemented user authentication system.;Lea Schneider;0.23224;0.65661;Fels & Stein GmbH;abgerechnet;04:32
Funkeln & Glanz KG / Jewelry Design;9802136;07.02.2024;Upgraded server infrastructure for scalability.;Jan Kohler;0.06321;0.06653;Funkeln & Glanz KG;abgerechnet;00:16
Sturm & Partner / Financial Strategy;6556676;14.02.2024;Refactored code for better maintainability.;David Meier;0.03474;0.05479;Sturm & Partner;abgerechnet;00:15
Kieselstein GmbH / Construction Innovation;2902998;15.02.2024;Integrated third-party API for extended functionality.;Lara Zimmer;0.02793;0.03649;Kieselstein GmbH;abgerechnet;00:13
Funkeln & Glanz KG / Luxury Goods;2720651;19.02.2024;Enhanced mobile responsiveness of the website.;Tim Neumann;0.13824;0.10406;Funkeln & Glanz KG;geprueft;00:54
Kleeblatt AG / Crop Management;5825464;07.02.2024;Updated UI for a more modern look.;Tim Neumann;0.11791;0.11277;Kleeblatt AG;abgerechnet;00:36
Wasserfall AG / Hydropower Development;5476330;06.02.2024;Refactored code for better maintainability.;Olivia Berg;0.13987;0.1081;Wasserfall AG;abgerechnet;01:23
Blitz & Co KG / Lightning Protection;3492309;12.02.2024;Enhanced mobile responsiveness of the website.;Sophie Schmidt;0.07416;0.0527;Blitz & Co KG;abgerechnet;00:25
Fels & Stein GmbH / Geological Surveys;6360458;09.02.2024;Developed prototype for upcoming product launch.;Lara Zimmer;0.45955;0.50372;Fels & Stein GmbH;abgerechnet;04:58
Wunderbar GmbH / Brand Innovation;3171180;15.02.2024;Updated UI for a more modern look.;Olivia Berg;0.03606;0.02617;Wunderbar GmbH;abgerechnet;00:11
Mondschein KG / Optical Engineering;6781718;08.02.2024;Fixed compatibility issues with legacy systems.;Lea Schneider;0.03163;0;Mondschein KG;abgerechnet;00:05
Himmelsstürmer KG / Aircraft Maintenance;3591582;27.02.2024;Fixed compatibility issues with legacy systems.;Jan Kohler;0.03503;0.03172;Himmelsstürmer KG;abgerechnet;00:10
Schattenspringer AG / Digital Media;9996686;19.02.2024;Automated deployment processes for CI/CD pipeline.;Simon Seidel;0.03345;0.06956;Schattenspringer AG;abgerechnet;00:24
Adlerflug GmbH / Aerospace Engineering;8564502;08.02.2024;Upgraded server infrastructure for scalability.;Julia Weber;0.02723;0.03082;Adlerflug GmbH;abgerechnet;00:24
Sandsturm AG / Climate Adaptation;7605165;09.02.2024;Optimized database queries for faster load times.;Anna Becker;0.02535;0.03556;Sandsturm AG;abgerechnet;00:23
Weitblick KG / Retirement Planning;6312367;22.02.2024;Added a new feature to improve user experience.;Mia Koch;0.05416;0.07266;Weitblick KG;abgerechnet;00:38
Feuersturm GmbH / Emergency Planning;2185219;28.02.2024;Conducted performance testing and optimizations.;Sophie Schmidt;0.0531;0.07099;Feuersturm GmbH;abgerechnet;00:04
Kieselstein GmbH / Construction Innovation;8676458;07.02.2024;Redesigned landing page for better conversion rates.;David Meier;0.03619;0.02816;Kieselstein GmbH;abgerechnet;00:09
Funkeln & Glanz KG / Jewelry Design;8922508;19.02.2024;Fixed compatibility issues with legacy systems.;Clara Klein;0.03393;0.03389;Funkeln & Glanz KG;abgerechnet;00:35
Wildfang AG / Product Innovation;4915191;27.02.2024;Automated deployment processes for CI/CD pipeline.;Liam Scholz;0.05586;0.11281;Wildfang AG;abgerechnet;01:23
Wolfsblut GmbH / Wildlife Conservation;5737941;16.02.2024;Developed new analytics dashboard for insights.;Finn Lehmann;0.03726;0.02658;Wolfsblut GmbH;abgerechnet;00:39
Seeblick GmbH / Tourism Development;9736466;14.02.2024;Implemented user authentication system.;Jan Kohler;0.06494;0.14552;Seeblick GmbH;abgerechnet;01:28
Nordlicht KG / Arctic Exploration;7195770;14.02.2024;Optimized database queries for faster load times.;Clara Klein;0.03091;0.02543;Nordlicht KG;abgerechnet;00:38
Morgenstern AG / Solar Energy;6236413;07.02.2024;Enhanced mobile responsiveness of the website.;Liam Scholz;0.02611;0.03524;Morgenstern AG;abgerechnet;00:24
Wolfsblut GmbH / Veterinary Research;4750293;16.02.2024;Added a new feature to improve user experience.;Finn Lehmann;0.05579;0;Wolfsblut GmbH;abgerechnet;00:30
Schattenspringer AG / Entertainment Ventures;7086908;08.02.2024;Upgraded server infrastructure for scalability.;Simon Seidel;0.0632;0.06389;Schattenspringer AG;abgerechnet;00:46
Sonnenstrahl KG / Sustainable Solutions;5696367;16.02.2024;Implemented caching mechanism for efficiency.;Laura Schwarz;0.07082;0.0537;Sonnenstrahl KG;abgerechnet;00:08
Sandsturm AG / Climate Adaptation;9676340;01.02.2024;Updated UI for a more modern look.;Ben Richter;0.53036;0.8382;Sandsturm AG;abgerechnet;06:51
Morgenstern AG / Green Initiatives;6064483;05.02.2024;Integrated third-party API for extended functionality.;Laura Schwarz;0.05717;0.06017;Morgenstern AG;abgerechnet;00:59
Eisberg GmbH / Supply Chain;2026172;15.02.2024;Developed new analytics dashboard for insights.;Felix Voigt;0.25074;0.21239;Eisberg GmbH;abgerechnet;01:50
Feuersturm GmbH / Emergency Planning;9991838;02.02.2024;Enhanced mobile responsiveness of the website.;Sophie Schmidt;0.20154;0.23236;Feuersturm GmbH;abgerechnet;01:23
Glücksklee GmbH / Pharmaceutical Development;6714324;19.02.2024;Refactored code for better maintainability.;Tim Neumann;0.02581;0.02747;Glücksklee GmbH;abgerechnet;00:31
Sturm & Partner / Risk Management;1487722;08.02.2024;Resolved bug in the payment module.;Felix Voigt;0.05108;0.06021;Sturm & Partner;abgerechnet;00:05
Silberfuchs GmbH / AI Implementation;1867590;01.02.2024;Fixed compatibility issues with legacy systems.;Hannah Boehm;0.13565;0.18565;Silberfuchs GmbH;abgerechnet;01:08
Himmelsstürmer KG / Pilot Programs;6647689;14.02.2024;Added a new feature to improve user experience.;Simon Seidel;0.02721;0.03013;Himmelsstürmer KG;abgerechnet;00:28
Sternschuppen AG / Satellite Technology;1614406;13.02.2024;Conducted performance testing and optimizations.;Finn Lehmann;0.03341;0.05154;Sternschuppen AG;abgerechnet;00:42
Wasserfall AG / Hydropower Development;2809067;12.02.2024;Upgraded server infrastructure for scalability.;Liam Scholz;0.03269;0;Wasserfall AG;abgerechnet;00:11
Feuersturm GmbH / Emergency Planning;8594379;01.02.2024;Added a new feature to improve user experience.;Lea Schneider;0.05858;0.12199;Feuersturm GmbH;abgerechnet;01:25
Sternschuppen AG / Astrophysics;5058386;19.02.2024;Optimized database queries for faster load times.;Tom Braun;0.02746;0.02883;Sternschuppen AG;abgerechnet;00:15
Schattenspringer AG / Film Production;9576402;26.02.2024;Enhanced mobile responsiveness of the website.;Anna Becker;0.02575;0;Schattenspringer AG;abgerechnet;00:12
Wasserfall AG / Water Conservation;5527469;22.02.2024;Resolved bug in the payment module.;Lea Schneider;0.07271;0.05656;Wasserfall AG;abgerechnet;00:44
Seeblick GmbH / Eco-Tourism;3578640;15.02.2024;Automated deployment processes for CI/CD pipeline.;Sara Brandt;0.03691;0.02903;Seeblick GmbH;abgerechnet;00:35
Morgenstern AG / Green Initiatives;5896510;01.02.2024;Added a new feature to improve user experience.;Lara Zimmer;0.1331;0.31498;Morgenstern AG;abgerechnet;02:47
Sturm & Partner / Risk Management;4260644;08.02.2024;Optimized database queries for faster load times.;Emma Hoffmann;0.05252;0.06705;Sturm & Partner;abgerechnet;00:12
Morgenstern AG / Green Initiatives;3165512;09.02.2024;Refactored code for better maintainability.;Max Mueller;0.29368;0;Morgenstern AG;abgerechnet;00:18
Eisberg GmbH / Supply Chain;2255010;15.02.2024;Added localization support for multiple languages.;Niklas Hahn;0.03352;0.02648;Eisberg GmbH;abgerechnet;00:16
Himmelsstürmer KG / Aviation Training;2013878;13.02.2024;Enhanced mobile responsiveness of the website.;Jan Kohler;0.14447;0.1782;Himmelsstürmer KG;abgerechnet;01:22
Wasserfall AG / Hydropower Development;9428688;27.02.2024;Redesigned landing page for better conversion rates.;Laura Schwarz;0.19318;0.17726;Wasserfall AG;abgerechnet;01:37
Lichtblick AG / Renewable Energy;9868737;02.02.2024;Improved security protocols to protect data.;Emma Kruger;0.07102;0.05439;Lichtblick AG;abgerechnet;00:36
Wunderbar GmbH / Marketing Overhaul;2206623;05.02.2024;Optimized database queries for faster load times.;Sophie Schmidt;0.36863;0.35683;Wunderbar GmbH;abgerechnet;02:14
Eisberg GmbH / Supply Chain;3269140;16.02.2024;Developed prototype for upcoming product launch.;Sophie Schmidt;0.34373;0.31216;Eisberg GmbH;abgerechnet;02:17
Schattenspringer AG / Film Production;8523926;15.02.2024;Developed new analytics dashboard for insights.;Laura Schwarz;0.14432;0.39277;Schattenspringer AG;abgerechnet;02:44
Wolkenbruch AG / Data Security;4928212;08.02.2024;Improved security protocols to protect data.;Max Mueller;0.22456;0.68044;Wolkenbruch AG;abgerechnet;05:00
Sternschuppen AG / Space Exploration;9190794;14.02.2024;Automated deployment processes for CI/CD pipeline.;Lea Schneider;0.13014;0.30468;Sternschuppen AG;abgerechnet;02:35
Seeblick GmbH / Hotel Management;6614231;12.02.2024;Fixed compatibility issues with legacy systems.;Mia Koch;0.16643;0.17829;Seeblick GmbH;abgerechnet;01:04
Himmelsstürmer KG / Pilot Programs;7859032;27.02.2024;Integrated third-party API for extended functionality.;Lukas Fischer;0.0297;0.03454;Himmelsstürmer KG;abgerechnet;00:11
Wunderbar GmbH / Brand Innovation;1877257;19.02.2024;Automated deployment processes for CI/CD pipeline.;Mia Koch;0.08145;0.08109;Wunderbar GmbH;abgerechnet;00:56
Nordlicht KG / Renewable Energy;1558670;29.02.2024;Refactored code for better maintainability.;Clara Klein;0.0255;0.05345;Nordlicht KG;abgerechnet;00:24
Sandsturm AG / Climate Adaptation;5491518;26.02.2024;Added a new feature to improve user experience.;Lena Krause;0.03374;0.03083;Sandsturm AG;abgerechnet;00:13
Eisberg GmbH / Cold Chain Solutions;9648492;12.02.2024;Fixed compatibility issues with legacy systems.;Clara Klein;0.02915;0.02529;Eisberg GmbH;abgerechnet;00:14
Bergwerk AG / Mining Expansion;9232509;23.02.2024;Implemented caching mechanism for efficiency.;Lukas Fischer;0.1261;0.12529;Bergwerk AG;geprueft;01:02
Hinterland GmbH / Rural Development;2609685;07.02.2024;Refactored code for better maintainability.;Sophie Schmidt;0.38111;0.37346;Hinterland GmbH;abgerechnet;03:23
Schattenspringer AG / Digital Media;2541076;28.02.2024;Redesigned landing page for better conversion rates.;Felix Voigt;0.02617;0.02535;Schattenspringer AG;abgerechnet;00:18
Blitz & Co KG / Electrical Systems;4672017;29.02.2024;Enhanced search functionality with advanced filters.;Tim Neumann;0.17916;0.1804;Blitz & Co KG;abgerechnet;02:14
